Timestamp,Institution ,Do you perform more than one behavioral test per day on the same subject or cohort? ," If yes, in which order?  

 e.g., “NTT → Shoaling → LDT” with ~1 hour interval.", How many tests do you typically run on the same subject (fish)?  ,Do you randomize the order of tests? ,What is your reasoning behind the test battery order? ,"What is the average inter-test interval for the same fish? (few minutes, 24h? )",What is the average acclimation time before testing? If animals are acclimated,What is the typical duration of each test used in your behavioral battery (in minutes)? (e.g. NTT 6 min),What are the dimensions of the tanks/apparatus you use (tests used in the behavioral battery)? ,"When testing multiple animals on the same day, do you clean or replace the water in the apparatus between each subject? ", Would you be interested in participating in a multi-lab study of zebrafish test batteries?  
2025/07/28 9:50:42 am GMT-3,University of Surrey,No,N/A,2,Yes,We always run the novel tank test first because of needing to have a novel environment - ie to maximise the novelty of the environment ,One or more days - we don’t test on the same day ,30 min,5 min - 1 hr,Various ,Yes,Yes
2025/07/28 10:25:47 am GMT-3,UFSM - Federal University of Santa Maria,Yes,"If we do, we do not remove the animal from the water and measure NTT, social preference and mirror-induced aggression test, just changing the configuration of apparatuses.",1,Yes,"We use the same fish without removing, from the novelty to the less aversive design",same trial (13 min at most),"After the treatments, no acclimnation.","NTT 6, SPT 2 min, Aggression 5 min",25 lenght x 15 height x 10 width,Yes,Yes
2025/07/28 11:01:11 am GMT-3,i3S,No,,2,No,From the least to the most invasive/ stressful test,24h,30 min -1h,NTT 6 min; LDT 6 min; activity 15 min; shoaling 5 min,"shoaling 24x24 cm; LDT 28x13x15 cm , NTT and mirror biting test 24x12x8 cm",Yes,Yes
2025/07/28 11:12:25 am GMT-3,Universidad de La Fronetra,No,,1,Yes,,24 hrs,1 day,NTT 5 min,14.5 cm height × 27 cm top × 22 cm bottom × 16 cm diagonal × 5 cm width,Yes,Yes
2025/07/28 11:53:30 am GMT-3,UFRN,Yes,"for adults: 
NTT --> social with no interval (6' NTT, remove lateral opaque barriers and record another 6' with fish visual access to a shoal)
NTT --> mirror aggressive response no interval (6' NTT, remove one lateral opaque barrier and record another 6' with fish visual access to a mirror)
social --> mirror response with 1h interval
Open filed --> avoidance with no interval (10'open field followed by negative stimulus and recording for another 10')
for larvae:
open field --> OMR with no interval
OMR --> avoidance with 1h interval",3,Yes,"I perform NTT (or open field) first because fish habituate to the tank and I can extract any second response (social, aggression) without the initial anxiety of the tank novelty ","when I use an interval, it is 1h","Acclimation to the experimental room is 24h, acclimation to the tank (for example open filed) is 15 min ",6 to 10 min,20 x 12 x 16 cm ,Yes,Yes
2025/07/28 12:56:41 pm GMT-3,North-West University,Yes,light/dark preference - novel tank diving (tests follow directly on one another),2,No,"We focus on anxiety-like behaviour. Should the first test amplify such behaviour (this is not the reason for performing more than one test; any behavioural assessment could potentially cause this), it can be measured in the latter. For this reason, the same order is used in all fish. ","In our current induced severe stress model, we test on days 1, 4, 7, 14 and 21 to measure persistence of anxiety-like behaviour.","After acquiring young adult fish: 6 weeks quarantine. Within the lab (dedicated aquatic facility), temperature, water paramaters and light conditions are constant and fish are ""acclimated"" for ten minutes after moving their tanks from the system to mitigate possible effects of handling the tank. Water from the same system is used in the testing aparatus.",6 minutes (both light/dark and novel tank diving),"NTT: due to repeated testing (D1, D4, D7, D14, D21) in the same fish, differently shaped tanks are used to maintain novelty of the tank. These tanks have similar volumes.",Yes,Yes
2025/07/28 4:08:45 pm GMT-3,New York University,No,,1,Yes,Time of the day and orientation of the setup ,Few minutes ,It depends - somewhere from 10 minutes to 1 hour ,10 minutes,Approx 50 cm long and 30 wide ,Depends on test,Yes
2025/07/29 4:47:43 am GMT-3,North West University ,Yes,"NTT, LDT,no interval, ",2,No,,,,,,,
2025/07/29 10:09:55 am GMT-3,UFRGS,Yes,NTT ==> OTT (open tank test); SOCIAL PREFERENCE TEST ==> OTT (with no interval),2,No,"NOVEL TANK: needs a novel environment, novelty component, previous submission to another assay could affect temporal dynamics of geotaxis; SOCIAL PREFERENCE + OTT: primary outcome was social behavior.","No interval, one test followed by the other.","Social preference: first 2 minutes are acclimation in the apparatus. For NTT, no acclimation in the apparatus (only acclimation in the room, and exposure to drug solutions in beakers).","NTT 6 min, SOCIAL PREFERENCE 2 + 5 minutes. OTT 5 or 10 minutes.","NTT 24 × 8 × 20 cm (length × width × height, 18 cm water height), OTT: 24 cm in diameter and 8 cm in height, filled with a 2 cm water column;  SPT: (30 × 10 × 15 cm) positioned between two adjacent tanks (15 × 10 × 13 cm each), water 10 cm high all tanks.",Yes,Yes
2025/07/29 10:54:38 am GMT-3,University of Calicut ,No,,2,Yes,We use same fish for NTT control and test,Few minutes,5 min,NTT 6 min,NTT  15L×15H×6W,Yes,Yes
2025/07/29 12:20:44 pm GMT-3,CSIR-Institute of Genomics and Integrative Biology,No,,5 or more,No,The assays which just test for innate behaviour (wherein acclimatization is not required) are performed first then the tests which are memory/ behaviour based (which requires acclimatization / training),24 hrs atleast,10 minutes atleast,10 minutes atleast ,,Depends on test,No
2025/07/29 6:18:39 pm GMT-3,North-West University,Yes,Combined Openfield Light Dark Test followed by a Novel Tank Diving Test . No interval between the tests,2,No,"I sequence the Combined Open Field and Light-Dark Test before the Novel Tank Test to minimize novelty-induced stress confounds. The combined test allows initial assessment of anxiety-like behavior in a familiar horizontal plane, while the Novel Tank Test, being more stressful due to its vertical exploration component, is done later to avoid influencing earlier results.
",No interval.,10 minutes,All tests are 6 minutes long,Color Preference Test:  Custom 4-arm plus maze tank: 30 cm (length) × 30 cm (width) × 15 cm (height)  Combined Open Field and Light-Dark Test:  Rectangular tank: 24 cm (length) × 18 cm (width) × 14 cm (height)  Divided into equal light and dark zones with opaque and transparent inserts.  Novel Tank Diving Test:  5 tanks with these parameters: 28 cm (top length) × 22 cm (bottom length) × 15 cm (width) × 15 cm (height),Yes,Yes
2025/07/30 3:01:48 am GMT-3,"CSIR-IGIB, New Delhi",No,,5 or more,Yes,,More than 24 h,10 minutes ,10 minutes,,Depends on test,Yes
2025/07/30 4:19:29 am GMT-3,UFSM,Yes,"NTT -> Social pref. -> Mirror aggr., no interval / Or NTT -> LDT, no interval ",3,No,NTT makes sense to be first. More stressful test (i.e. aggression) makes sense to be last. ,No interval,No acclimation,"NTT, LDT, Aggr. = 6min, Social pref 1min",20 x 15 x 10 (cm),Yes,Yes
2025/07/31 4:11:37 am GMT-3,North-West University,Yes,"LDT then OFT with a few minutes between tests; NTT then novel maze (combination of tests in one tank e.g., LDT, OFT, predator avoidance); with a few minutes between tests",2,No,"Consistency. Every fish should go through the same experimental procedures, starting with the same test. Also, the test that induce the least stress is used first.",Few minutes,"If acclimated, 6 minutes.",6 minutes,Juvenile zebrafish - LDT and OFT = Petri dish with 8.5 cm diameter. Adult zebrafish = NTT: 25cm x 10cm x 7 cm,Depends on test,Yes
2025/08/01 1:28:29 pm GMT-3,Indiana University Northwest,No,N/A,1,,,,,NTT 6 minutes,"Size of novel tank: 15 height (cm), 28.4 length at center (cm), and 6 width (cm). Aquaneering part number ZT180. ",No,Yes
2025/08/05 3:01:27 am GMT-3,"Institute of Natural Sciences and Mathematics, UrFU",Yes,"Sometimes, depending on the tasks.  NTT → Shoaling,  NTT  → LDT,  or Mirror Biting - Shoaling, Mirror Biting → LDT",3,No,,"Depending on the selected battery of tests, for example NTT → Shoaling - 10-60 min, NTT → Y/+ maze  - 20-24 hours","If the animals arrived to the laboratory from the supplier - 14-21 days (adaptation to water, light, food, etc.). If transferred within the laboratory - 24-48 hours.","In Average all tests are 5-6 minutes long. Depending on the tasks set, the time can increase to 10+ minutes. Y/+ maze - 10 min training, 5-10 min test. Small Y- 60 min","NTT, MBT  15*20*5 cm (h*w*d);  LDB - 20*40*15 cm; Y/+ maze height-10 см, length - 30 cm ",Yes,Yes
2025/08/05 3:06:59 am GMT-3,Volgograd state medical university,Yes,NTT-open field-LDT-plus maze-Shoaling  with 10 minutes interval,5 or more,Yes,"We believe that the NTT test is the most indicative, then in the same order as with rodents, open field - black and white chamber - plus maze",few minutes,we conduct tests the next day after the last stress exposure,"NTT test - 5 minutes, other tests for 3 minutes","for NTT 20 cm length - 20 height and 5 width, plus maze - sleeve length 9 cm, width 3 cm round open field diameter 30 cm, height 13 cm, dark and light box - the length of the entire box is 38 cm, black - 18 cm, height 18 cm",No,Yes
2025/08/05 6:27:08 am GMT-3,"Institute of Natural Sciences and Mathematics, UrFU",Yes,"Sometimes, depending on the tasks.  NTT → Shoaling,  NTT  → LDT,  or Mirror Biting - Shoaling, Mirror Biting → LDT",3,No,,"Depending on the selected battery of tests, for example NTT → Shoaling - 1 hour, NTT → Y/+ maze  - 20-24 hours","If the animals arrived to the laboratory from the supplier - 14-21 days (adaptation to water, light, food, etc.). If transferred within the laboratory - 24-48 hours.","In Average all tests are 5 minutes long. Depending on the tasks set, the time can increase to 10+ minutes. Y/+ maze - 10 min training, 5-10 min test. Small Y- 60 min","NTT, MBT  15*20*5 cm (h*w*d);  LDB - 20*40*15 cm; Y/+ maze height-10 см, length - 30 cm ",Yes,Yes
2025/08/05 11:11:30 am GMT-3,XJTLU,Yes,NTT → Shoaling → LDT with ~1 hour interval,2,No,Time constraints,24 h,1 h or 24 h,all tests 5 min,varied,Yes,Yes
2025/08/05 3:17:58 pm GMT-3,St. Petersburg State University,No,,1,Yes,,24h,1h,5 minutes,20x20x5,Yes,Yes
2025/08/06 6:07:02 am GMT-3,University of Gothenburg,Yes,Normal behaviour - intervention - minimum 30 minute delay to 1 hour - behavioural assessment hourly up until 6 hours,1,Yes,Need to see if behaviour changes from normal due to high individual variation. ,1 hour,14 days,Don't know what this means but behavioural observations are 15 to 25 minutes,20 x 30 x 20 cm,Yes,Yes
2025/08/07 12:24:51 pm GMT-3,Wayne State University,Yes,NTT --> Mirror biting with a 1-2 day interval,2,No,We want the novel tank to be 'novel'. The novelty of the tank itself is important. The novelty of the tank is not so important for the mirror biting test.,48 h,1 h,6 min,15 x 15 x 15 cm,Yes,Yes
2025/08/15 12:25:05 pm GMT-3,Scientific Research Institute of Neurosciences and Medicine,No,,3,Yes, Saving animals and the ability to compare behavior in different tests,24h,2 weeks,NTT 6 min,standard,Yes,Yes
